PRODUCT TITLE,PRODUCT DESCRIPTION,COLOR,SIZE,MATERIAL
Halo-Halo Keychain,"Miniature halo-halo dessert keychain made from clay and resin, featuring a clear plastic cup filled with detailed molded ingredients. The contents include crushed ice, purple ube, yellow leche flan, and assorted colored layers representing traditional halo-halo toppings. Available in two variations: with lid and without lid. Each cup is securely attached to a metal keyring, suitable for use as a charm on bags, keys, or lanyards.","Transparent, Multi-Colored",SMALL,"Clay, Resin"
Filipino Funny Magnets,"A set of novelty refrigerator magnets featuring humorous and culturally iconic Filipino phrases in Tagalog, each paired with playful cartoon-style illustrations. The designs include references to everyday Filipino expressions, food items, and popular sayings such as “May mumu dyan,” “Bawal umihi dito,” and “Filipino time.” Each magnet is square-shaped and compact, ideal for decorating refrigerators, lockers, or magnetic boards. Sold as a themed set or individually, these magnets celebrate Filipino humor and nostalgia through bold visuals and witty text.",Multi-Colored,2 x 2 in,Vinyl-Coated Magnetic Sheet
"Filipino Snacks Parody Stickers (Skyflakes, Susmaryosep, Potchi)","A set of Filipino parody snack stickers inspired by iconic local brands. Each sticker features a humorous twist on familiar packaging: “Susmaryosep” mimics Skyflakes crackers with a euphemistic exclamation, while “Potcha” parodies Potchi gummies with a playful take on Filipino slang. Printed in full color with hand-drawn designs, these stickers celebrate Filipino humor and pop culture. They are waterproof, matte-finished, and designed to be durable and easy to apply on laptops, water bottles, notebooks, and more.",Multi-Colored,SUSMARYOSEP: 3.5 IN x 2 IN AND POTCHA: 3.25 IN x 1.75 IN,Vinyl Sticker (Matte Finish)
Philippine-Inspired Monogram Keychain,"A 2-in tall handmade keychain featuring a monogram letter design inspired by the Philippine flag. The front showcases the iconic three stars and sun motif in yellow, set against a backdrop of blue and red. The reverse side is decorated with red and blue glitter. Each piece is crafted from resin with embedded sticker elements and metal findings, made in a smoke-free, pet-free household in suburban Dallas.","Red, Blue, Yellow",2 IN,"Resin, Sticker, Glitter, Metal Findings"
Filipino Dessert Drink Stickers: Taho and Iskrambol,"A pair of illustrated stickers inspired by iconic Filipino street drinks-Taho and Iskrambol. Each sticker features a playful, hand-drawn design: Taho showcases a silken tofu cup with syrup and sago, commonly sold in the mornings, while Iskrambol depicts a colorful iced dessert topped with chocolate syrup, milk, marshmallows, and sprinkles, popular in the afternoons. Printed on waterproof vinyl with a matte finish, these stickers are ideal for party decor, personal accessories, or cultural-themed gifts. handmade in a smoke-free, pet-free space in Dallas, Texas",Multi-Colored,APPRO x . 3 IN x 2.3 IN,Vinyl Sticker (Matte Finish)
Wala Akong Pake! - Filipino Plastic Bag Sticker (STK-PKE-001),"A waterproof vinyl sticker designed as a playful parody of the classic “Thank You” plastic grocery bag, featuring a smiling orange face and the Tagalog phrase “Wala akong pake” (“I don’t care”). This hand-drawn design adds a humorous Filipino twist to a familiar everyday item, making it ideal for party decor, personal accessories, or cultural-themed gifts. Crafted with a matte finish for a smooth texture and easy application.",White With Orange-Black Accents,APPRO x . 3 IN x 2.75 IN,Vinyl Sticker (Matte Finish)
"I'm Not Late, I'm on Filipino Time! - Funny Filipino Sticker","A 3-in vinyl sticker featuring a hand-drawn wristwatch with the Philippine flag on the strap and the phrase “I’m not late, I’m on Filipino time.” This design humorously captures a well-known cultural quirk-Filipino gatherings often start later than scheduled, making this sticker a playful nod to shared experiences. Printed with a matte finish, it’s waterproof and easy to apply, ideal for party decor, journals, laptops, or cultural-themed gifts.",Multi-Colored,3 x 3 IN,Vinyl Sticker (Matte Finish)
Isaw (Chicken Gizzard) - Philippine Street Food Sticker,"A 3-in vinyl sticker featuring a cartoon-style illustration of Isaw, a beloved Filipino street food made from grilled chicken intestines or gizzards, often skewered and served with vinegar dip. The design captures the iconic look of the kabob-style snack, making it a fun and culturally rich addition to party decor, journals, laptops, or food-themed collections. Printed with a matte finish, this sticker is waterproof, repositionable, and handmade in a smoke-free, pet-free space in Dallas, Texas.",Brown,3 x 3 IN,Vinyl Sticker (Matte Finish)
Baguio-Inspired Barrel Man: A Wood Carved Sticker Souvenir,"A 4-in vinyl sticker inspired by the iconic Barrel Man wood-carved souvenir from Baguio City, Philippines. This cheeky design pays tribute to a beloved piece of Filipino kitsch, known for its humorous reveal and playful cultural symbolism. Featuring a cartoon-style illustration, the sticker is printed with a matte finish, making it waterproof, repositionable, and ideal for party decor, journals, laptops, or novelty collections. handmade in a smoke-free, pet-free space in Dallas, Texas.",Multi-Colored,4 IN x 3 IN,Vinyl Sticker (Matte Finish)
Laban Lang! - Motivational Sticker Tag,"A 4-in vinyl sticker featuring a pop-up window graphic with the Tagalog phrase “Laban Lang!”-a motivational expression meaning “Keep fighting on.” Designed with a holographic finish, this sticker adds a reflective shine to its minimalist layout, making it ideal for journals, laptops, water bottles, or party decor. Printed with durable ink on waterproof vinyl, it’s repositionable and handmade in a smoke-free, pet-free space in Dallas, Texas.",Black/Yellow,APPRO x . 4 IN x 1.25 IN,"Vinyl, Ink"
Bilo-Bilo: Filipino Dessert Keychain (KCH-BLO-001),"A handcrafted keychain inspired by Bilo-Bilo, a traditional Filipino dessert known for its colorful mix of crushed ice, milk, ube, nata de coco, langka, mochi, sago, and sweet potatoes. This miniature replica is made from resin, polymer clay, foam, beads, and a metal keychain ring, capturing the layered textures and vibrant ingredients of the real dessert. Designed as a decorative charm, it’s ideal for cultural-themed accessories, gifts, or collectibles. keychain only-not edible.",Multi-Colored,APPRO x . 2 IN TALL,"Resin, Polymer Clay, Foam, Beads, Metal Keychain Ring"
Adulting Awards in Filipino Sticker Tags,"A collection of vinyl stickers designed as colorful award ribbons featuring humorous Filipino phrases that celebrate everyday adult wins. Each sticker showcases a playful Tagalog message such as “Hindi Gumastos Today!”, “Naligo Ako Today!”, and “Wow, Galing!”, printed in bold text on ribbon-style graphics. These stickers are waterproof, holographic, and repositionable-perfect for planners, laptops, party decor, or gifting.",Multi-Colored,APPRO x . 4 IN x 2 IN,"Vinyl, Ink"
"Ay Nako, Girl! - Filipino Hugot Lines Sticker (STK-AYN-001)","A 3-in vinyl sticker featuring the bold Tagalog phrase “Ay nako, girl!”-a playful Filipino expression synonymous with “OMG, girl!” The design showcases black cursive text over a gradient background of pink, orange, and yellow, framed by a white border. This sticker captures the sass and humor of everyday Filipino conversations, making it perfect for party decor, journals, laptops, or cultural-themed gifts.",Multi-Colored,3 IN x 2 IN,"Vinyl, Ink"
Fruit Salad: Filipino Dessert Keychain (KCH-FRS-001),"A handcrafted keychain inspired by Fruit Salad, a classic Filipino dessert known for its colorful mix of fruits and sweet ingredients. This miniature replica features a dessert bowl crafted from resin, polymer clay, foam, and beads, representing elements like cherries, jackfruit, coconut, nata de coco, kaong, sago, jellies, ube, and milk. The charm is securely attached to a metal keychain ring and designed as a decorative accessory. keychain only-not edible.",Multi-Colored,APPRO x . 2 IN TALL,"Resin, Polymer Clay, Foam, Beads, Metal Keychain Ring"
Buko Pandan: Filipino Dessert Keychain (KCH-BKP-001),"A handcrafted keychain inspired by Buko Pandan, a beloved Filipino dessert known for its creamy texture and vibrant green jelly pieces. This miniature replica features a dessert cup crafted from resin, polymer clay, foam, and beads, representing ingredients like milk, pandan extract, nata de coco, sago, kaong, and assorted jellies. The charm is securely attached to a metal keychain ring and designed as a decorative accessory. keychain only-not edible.",Multi-Colored,APPRO x . 2 IN TALL,"Resin, Polymer Clay, Foam, Beads, Metal Keychain Ring"
Fruit Salad: Filipino Life Size Dessert Cup Décor (FGN-FRS-001),"A realistic fake food art of a classic Filipino dessert, the fruit salad. Made with upcycle from glass from the thrift store, handmade parts, and resin. This can be a decorative piece for your house, dessert shop, office, or anywhere really!",Multi-Colored,Unidentified,"Resin, Polymer Clay, Foam, Beads"
Buko Pandan: Filipino Life Size Dessert Cup Décor (FGN-BKP-001),"A realistic fake food art of a classic Filipino dessert, the buko pandan. Made with upcycle from glass from the thrift store, handmade parts, and resin. This can be a decorative piece for your house, dessert shop, office, or anywhere really!",Green,Unidentified,"Resin, Polymer Clay, Foam, Beads"
Iskrambol: Life Size Dessert Cup Décor,"A realistic fake food art of a classic Filipino street food dessert, the Iskrambol. Made with upcycle from glass from the thrift store, handmade parts, and resin. This can be a decorative piece for your house, dessert shop, office, or anywhere really!",Multi-Colored,Unidentified,"Resin, Polymer Clay, Foam, Beads"
Kaya mo Yan! - Filipino Motivational Sticker Tag (STK-KMY-001),"A 4-in vinyl sticker featuring the Tagalog phrase “Kaya Mo Yan”-a heartfelt message meaning “You got this.” Designed in a speech bubble format with handwritten-style text, this sticker offers a dose of encouragement rooted in Filipino culture. Ideal for party decor, planners, laptops, or personal accessories, it’s printed with durable ink on waterproof vinyl. handmade in a pet-free, smoke-free suburban Dallas home, it’s a gentle reminder that resilience and support go hand in hand.",Black/White,APPRO x . 4 IN x 1.25 IN,"Vinyl, Ink"
ASTIG!matism - Filipino Sticker Tag (STK-ATG-001),"A 3.25-in vinyl sticker featuring the bold phrase “I put the ASTIG in astigmatism”, blending Filipino humor with eyewear pride. “Astig” is a Tagalog slang term meaning “badass” or “cool,” often associated with rakista (rockers) in early 2000s Filipino pop culture. The design includes stylized text and eyeglasses graphics, making it perfect for party decor, journals, laptops, or gifts for proud bespectacled Pinoys.",Multi-Colored,APPRO x . 3.25 IN x 2 IN,"Vinyl, Ink"
Filipino Meals Stickers: Silogs,"A collection of vinyl stickers featuring illustrated plates of Silog-a beloved Filipino breakfast combo of garlic fried rice (sinangag), fried egg (itlog), and a choice of savory protein. Each sticker showcases a different silog variant such as Tapsilog (beef tapa), Tocilog (sweet cured pork), Bangsilog (milkfish), Hotsilog (hotdog), Chicksilog (fried chicken), Tinapasilog (smoked fish), Longsilog (Filipino sausage), BBQsilog (barbecue), and Porksilog (pork chop). Printed with a matte finish, these waterproof and repositionable stickers are perfect for party decor, planners, food journals, or cultural-themed gifts.",Multi-Colored,APPRO x . 4 IN x 2 IN,"Vinyl, Ink"
Pinoy AF! FilipinoPlastic Bag Stickers (STK-PAF-001),"A 2.75-in vinyl sticker designed as a playful homage to the iconic “Thank You” plastic grocery bag, reimagined with a Pinoy AF twist. Featuring bold red and pink text and a gentle “Salamat Po” at the bottom, this sticker celebrates Filipino nostalgia and everyday humor. Perfect for party decor, planners, water bottles, or gifts-especially for those who grew up with a Lola who neatly folded every grocery bag.",White/Red/Pink,2.75 IN x 3 IN,"Vinyl, Ink"
Kayumanggi Filipino Stickers (STK-KGG-001),"A 3-in holographic vinyl sticker featuring the word “Kayumanggi”-a Tagalog term that refers to the rich brown skin tone of many Filipinos. The design repeats the word in various colors and styles, celebrating Filipino identity and pride through vibrant visual language. Printed on waterproof vinyl with a holographic finish, this sticker is ideal for party decor, journals, laptops, or cultural-themed gifts.","Multi-Colored, Holographic Finish",3 IN x 3 IN,"Vinyl, Ink"
Hopia Mani Popcorn - Filipino Pride Sticker Tags (STK-HMP-001),"A 3-in vinyl sticker featuring cheerful illustrations of hopia (Chinese pastry), mani (peanuts), and popcorn, each with a cute face and playful personality. The phrase “Hopia, Mani, Popcorn!” is a nostalgic shout heard from street vendors across the Philippines, evoking memories of childhood snacks and local markets. Printed with a matte finish, this sticker is waterproof, repositionable, and ideal for party decor, journals, laptops, or cultural-themed gifts.",Multi-Colored,3 IN x 3 IN,"Vinyl, Ink"
Pig-hati: Filipino Lechon Sticker (STK-PHT-001),"A 3-in vinyl sticker featuring a cartoon-style lechon (roast pig) wrapped in banana leaves with a sorrowful expression and the bold word “PIGHATI” above it. In Tagalog, pighati means “grief,” but this design plays on the pun-hati also means “split in half,” making it a humorous take on Filipino food and emotion. Perfect for party decor, journals, laptops, or cultural-themed gifts.",Multi-Colored,3 IN x 3 IN,"Vinyl, Ink"
Jowa Material: Filipino Kilig Stickers,"3-in vinyl sticker set featuring heart-shaped designs with the Tagalog phrases “Jowa Material” and “Kilig.” These expressions celebrate Filipino romantic slang-“Jowa” refers to a partner, boyfriend, or girlfriend, while “Kilig” captures the swoony, giddy feeling of romantic excitement. With playful typography and vibrant colors, these stickers are perfect for party decor, journals, laptops, or gifting to someone who makes your heart flutter.",Multi-Colored,3 IN x 3 IN,"Vinyl, Ink"
"Filipino Meal Stickers: Nilaga, Palabok, Adobong Manok","A set of 4x2 in matte vinyl stickers featuring cartoon-style illustrations of classic Filipino dishes-Nilaga (boiled meat and vegetables), Palabok (savory rice noodles with garlic sauce and toppings), and Adobong Manok (soy-vinegar braised chicken). These waterproof and repositionable stickers celebrate Filipino comfort food and are perfect for party decor, journals, laptops, or cultural-themed gifts.",Multi-Colored,4 IN x 2 IN,"Vinyl, Ink"
Halo-Halo Keychain (KCH-HAL-002),"Miniature halo-halo dessert keychain made from clay and resin, featuring a clear plastic cup filled with detailed molded ingredients. The contents include crushed ice, purple ube, yellow leche flan, and assorted colored layers representing traditional halo-halo toppings. Available in two variations: with lid and without lid. Each cup is securely attached to a metal keyring, suitable for use as a charm on bags, keys, or lanyards.","Transparent, Multi-Colored",SMALL,"Resin, Clay"
Anti-Valentines: Filipino Hugot Lines Stickers,"A 2.5 × 4 in matte vinyl sticker set featuring three humorous Tagalog designs perfect for Anti-Valentine’s Day: “Mga Luha ng Ex Mo” (The tears of your ex), “Eye Drops ng Katotohanan” (Eye Drops of Reality-guaranteed to help you see they’re playing with your emotions), and “Anti-Marites Spray” (Anti-Gossip Spray). Each fantasy product parody is waterproof, repositionable, and handmade in a smoke-free, pet-free suburban Dallas home. Available individually or as a set, these stickers are ideal for party decor, journals, laptops, or gifting to your heartbreak-surviving bestie.",Multi-Colored,2.5 IN x 4 IN,"Vinyl, Ink"
Halo-halo: Life Size Filipino Dessert Cup Décor (FGN-HAL-001),"A realistic fake food art of a o classic Filipino dessert, the halo halo. Made with upcycle from glass from the thrift store, handmade parts, and resin. This can writhed be a decorative piece for your house, dessert shop, office, or anywhere really! It can also have a paper holder attached so it doubles for function. Also can be a paperweight!",Multi-Colored,Unidentified,"Resin, Polymer Clay, Foam, Beads"
Pancit Palabok: Handmade Filipino Food Magnet (MGN-MLS-001),"A handmade miniature food magnet featuring Palabok, one of the Philippines’ most iconic noodle dishes-crafted from glaze and clay with intricate details like tiny hard-boiled eggs, green onions, and shrimp. This 3D charm celebrates Filipino culinary pride and is perfect for fridge decor, gift-giving, or cultural collections.",Multi-Colored,APPRO x . 2.5 IN diameter,"Clay, Glaze"
Philippine-Inspired Earrings,"A pair of handmade dangle earrings inspired by the Philippine flag, featuring the iconic three stars and a sun motif. These teardrop-shaped earrings are crafted from resin and glitter, with vibrant blue, red, and yellow accents that evoke national pride and dalagang Pilipina elegance. Lightweight and eye-catching, they’re perfect for cultural events, everyday wear, or gifting to proud Pinays.",Multi-Colored,APPRO x . 2 IN x 1 IN,"Resin, Glitter, Earring Hardware"
Filipino-Themed Handprinted Scrunchies,"A handmade set of scrunchies featuring original doodle designs inspired by Filipino culture and cuisine. Each piece is sewn from soft, glossy polysatin and printed with playful motifs such as Halo-Halo (a colorful shaved ice dessert), a Philippine flag doodle, and Smiley Itlog (a sunny-side-up egg with a cheerful face). These vibrant accessories are perfect for gifting to the dalagang Pilipina in your life or adding a touch of Pinoy pride to your everyday look.",Multi-Colored,APPRO x . 4 IN diameter (UNSTRETCHED),"Polysatin (100% Polyester), Elastic"
Pinoy Points: Filipino Points Sticker Set,"A playful set of vinyl stickers designed as colorful tickets featuring popular Tagalog point-based expressions: Pogi Points (handsome points), Ganda Points (pretty points), Pangit Points (ugly points), and Ligtas Points (saved points). These phrases are rooted in Filipino pop culture and humor-Pogi Points was widely used in the 90s-2000s to reward good deeds with “handsome credit,” while Ligtas Points is a meme-worthy metric for judging morally questionable laughter. Each sticker is printed with bold text and whimsical icons, perfect for party decor, journals, laptops, or gifting to your most pogi or least ligtas friends.",Multi-Colored,3 IN x 1.5 IN,"Vinyl, Ink"
Mang Tomas and Banana Ketchup: Filipino Sauces Parody Sticker Set,"A set of vinyl stickers parodying iconic Filipino condiments-Jufran Banana Ketchup and Mang Tomas Lechon Sauce-in a fictional “2024 Filipino Sauce Shortage.” Each sticker features playful bottle illustrations and humorous survival slogans like “I survived the 2024 banana ketchup shortage” and “I survived the 2024 lechon sauce shortage.” Inspired by real-life brand bans in the USA, these fantasy product designs are perfect for party decor, journals, laptops, or gifting to your most sauce-loyal friends.",Multi-Colored,APPRO x . 3 IN x 4 IN,"Vinyl, Ink"
"Toyo, Suka, Patis: Filipino Sauces Parody Sticker Set","A set of 4 × 1.5 in vinyl stickers parodying iconic Filipino pantry staples-Toyo (soy sauce), Suka (vinegar), and Patis (fish sauce). Inspired by real-life Pinoy brands and the recent U.S. import bans, these fantasy product designs feature playful bottle illustrations and Tagalog labels that celebrate Filipino humor and condiment culture. Perfect for party decor, journals, laptops, or gifting to your most sawsawan-obsessed friends.",Multi-Colored,4 IN x 1.5 IN,"Vinyl, Ink"
Philippine Flag Banner: Sticker Set,"A 6 × 1.5 in vinyl sticker featuring a vertical orientation of the Philippine flag presented as a festive garland. Each flag in the banner showcases the iconic design-blue on top, red below, and a white triangle with a yellow sun and three stars-arranged in a celebratory string format. This sticker is perfect for party decor, planners, laptops, or gifting to proud Pinoys.",Multi-Colored,6 IN x 1.5 IN,"Vinyl, Ink"
Quirky and Witty Coin Purses in Tagalog,"A set of handmade zip coin purses featuring witty Tagalog phrases that capture the humor and hustle of everyday Filipino life. Each pouch is printed with bold, minimalist text on white canvas and includes one of the following designs: Sukli (spare change), Gastos na naman! (when you just spent again), I dasurv nice things (a swardspeak affirmation), walang ipon club (proudly broke, but thriving). These compact pouches are perfect for coins, bills, or small essentials, and make great gifts for your gastadora bestie or dalagang Pilipina with a sense of humor.",White/Black,4.5 IN x 3.74 IN,"Canvas, Ink, Zipper"
Bawal Umihi Dito - Funny Tagalog Stickers,"A 3 × 3 in vinyl sticker featuring the iconic Filipino warning “Bawal Umihi Dito”-a phrase commonly seen on public walls across the Philippines meaning “No urinating here.” This humorous design comes in two styles: a brick wall background with cursive text, and a highway sign format with bold lettering. It’s a cheeky nod to street culture and everyday Filipino signage, perfect for laptops, journals, water bottles, or gifting to friends with a sense of humor.",Multi-Colored,3 IN x 3 IN,"Vinyl, Ink"
Jollibee Fan Art Sticker,"A 3.5-in vinyl sticker featuring Jollibee -a playful fan art rendition of Jollibee in YourCoolNinang’s signature art style. This cartoon-style bee character dons a red tuxedo and black bow tie, radiating charm and Filipino fast-food nostalgia. Perfect for laptops, journals, water bottles, or gifting to fellow Jollibee fans.",Multi-Colored,3.5 IN x 3.5 IN,"Vinyl, Ink"
Jeepney Lakwatsa Filipino Sticker (STK-JPN-001),"A 3 × 3 in vinyl sticker featuring a stylized illustration of a Filipino jeepney-a beloved and colorful form of public transportation in the Philippines. The design includes the word “Lakwatsa” on the signboard, a Tagalog slang term meaning galavanting or going out for fun. With vibrant colors and a playful layout, this sticker celebrates Pinoy street culture and wanderlust. Perfect for laptops, journals, water bottles, or gifting to your most lakwatsera friends.",Multi-Colored,3 IN x 3 IN,"Vinyl, Ink"
Philippine Flag Ice Cream Popsicle Sticker,"A 3.5 × 1.75 in vinyl sticker featuring a playful ice cream popsicle design inspired by the Philippine flag. This street food-themed illustration blends national pride with summer vibes, showcasing the flag’s iconic blue, red, white, and yellow elements-complete with the sun and three stars. Perfect for planners, laptops, water bottles, or gifting to proud Pinoys with a sweet tooth.","Red, Blue, Yellow, White",3.5 IN x 1.75 IN,"Vinyl, Ink"
Philippine Flag-Inspired Badge Reel ID Holder,"A set of handmade badge reels featuring Philippine flag-inspired designs-perfect for healthcare workers and professionals who want to display Filipino pride in a subtle yet stylish way. These ID holders come in various shapes including pixel hearts, stethoscopes, scrubs, and classic rounds, all incorporating the flag’s iconic blue, red, white, and yellow elements. Whether you're trying to spot fellow Pinoys at work or simply want to add cultural flair to your uniform, these resin-crafted reels are sleek enough to meet dress codes while loud enough to spark joy.","Red, Blue, Yellow, White",APPRO x . 1.75 IN x 1.75 IN,Resin
Sphere Arras Arrhae Unity Wedding Coins for Filipino Wedding Ceremony,"A handcrafted 2.5-in spherical wire container designed to hold Filipino wedding unity coins, also known as Arras or Arrae. Made in the Philippines, this elegant piece features intricate metalwork and includes genuine Philippine peso coins electroplated in silver or gold for a radiant finish. Traditionally used in Filipino Catholic weddings to symbolize shared prosperity, this unity element can be beautifully incorporated into any ceremony-religious or secular-as a gesture of cultural pride and commitment. Perfect for couples honoring Filipino heritage in their wedding rituals.",Silver/Gold,2.5 IN diameter,"Metal Wire, Electroplated Philippine Peso Coins"
"3"" Handmade Capiz Ornaments - Star, Heart & Poinsettia Filipino Christmas Carols","A 3-in handmade ornament crafted from authentic Capiz shells, shaped into a playful Tala Star design. Lovingly made in Pampanga-the Christmas and Lantern Capital of the Philippines-this shimmering piece captures the spirit of Filipino holiday traditions. Whether hung on a tree, displayed in a window, or gifted as a keepsake, each ornament adds a twinkling touch of cultural charm to your decor. Also available in 5-in variations and mini parol styles like hearts and poinsettias.",Translucent White/Gold,3 IN diameter,"Capiz Shell, Metal Frame"
"5"" Handmade Capiz Star Parol Chime with Gold Heart Frame & Cascading Discs - Filipino Christmas Ornament","Celebrate the warmth and wonder of Pasko with this 5-in handcrafted Capiz Mini Parol Chime, a luminous keepsake rooted in Filipino tradition and artisan craft. Made in Pampanga-the Christmas and Lantern Capital of the Philippines-each ornament features a five-point star parol framed in gold metal with hand-formed swirls, symbolizing hope, faith, and the enduring Filipino spirit. Cascading capiz discs below create a gentle, calming chime that evokes seaside serenity and the glow of lanterns guiding families home during Simbang Gabi. Hang it by your window, mantel, or tree to bring shimmer, heritage, and holiday joy into your space. Also available in 3-in Pasko ornaments and other 5-in designs.",Translucent White/Gold,5 IN diameter WITH CASCADING TAILS,"Capiz Shell, Metal Frame"
Philippines Capiz Reversible Circle Necklace Pendant,"A handcrafted pendant necklace inspired by traditional Filipino capiz windows (ventanas), designed and made in the Philippines by skilled artisans from Negros Island with 15-25 years of experience in shell and wood carving. The reversible pendant features locally sourced capiz shells from Hinigaran, Negros-one side polished smooth, the other etched with a quadrant window pattern crafted from hagnaya vine, a native Philippine fern. Suspended on an 18-in stainless steel gold-plated chain with a 2-in extender, this lightweight piece celebrates heritage, craftsmanship, and individuality. Each necklace carries intentional imperfections-variations in cut, color, and texture-making every piece uniquely yours.",White/Gold/Wood Tones,"PENDANT: APPRO x . 15 IN diameter, CHAIN: 18 IN + 2 IN E x TENDER","Capiz Shell, Hagnaya Vine, Gold-Plated Stainless Steel"
Philippine Capiz Crescent Stud Earrings,"A pair of 1.25-in crescent-shaped stud earrings handcrafted from locally sourced capiz shells in Hinigaran, Negros. Each shell is carefully cleaned and roasted to achieve a warm, natural glow, then shaped by artisans with 15-25 years of experience in traditional Filipino shell and wood crafting. The crescent design is inspired by the curved elegance of capiz windows, reflecting heritage and individuality. Mounted on stainless steel gold-plated hardware, these earrings are lightweight and perfect for everyday wear. Each piece features intentional imperfections-variations in cut, color, and texture-that highlight the organic beauty and story of Filipino craftsmanship.",Translucent White/Gold,1.25 IN diameter,"Capiz Shell, Gold-Plated Stainless Steel"
Philippine Indigenous Linulid Brass Earings,"Add a dash of cultural flair to your style with these Linulid Brass Earrings, proudly handcrafted by the Tboli brass-casters of Lake Sebu, South Cotabato. Each 3.5-in piece is made from upcycled brass objects, shaped through the traditional art of Temwel-a centuries-old brass casting technique. The design draws inspiration from the bluko motif and honors the lumulid process, where artisans roll wax to form intricate molds. These earrings are not just accessories-they’re wearable stories of transformation, heritage, and Filipino Indigenous artistry.",Antique Brass,3.5 IN LENGTH,"Upcycled Brass, Brass Hooks"
Philippine Lila Pearl Earrings,"More than a piece of jewelry, the Lila Pearl Earrings tell the story of the Philippine islands and flowers by the sea. handcrafted by Filipino women artisans across the archipelago, each pair features silk organza flowers with brass caps, paired with baroque South Sea pearls locally sourced from Cebu City. The earrings are mounted on stainless steel gold-plated hardware and measure 2 in in length-lightweight and elegant for all-day wear. Every piece carries intentional imperfections, celebrating the organic beauty of nature and the individuality of handmade craft. These earrings are a joyful addition to any Filipino jewelry collection and a tribute to heritage, femininity, and coastal charm.",Gold/White/Cream,2 IN LENGTH,"Pearl, Baroque Pearl, Freshwater Pearls, Silk Organza, Brass, Stainless Steel"
Philippine Indigenous Olo Spiral Brass Ring,"A handcrafted spiral brass ring designed by Tboli brass-casters from Lake Sebu, South Cotabato, using the traditional art of Kemteng-a process that involves heating and pulling brass wire to form elegant spirals. Each ring is made from upcycled brass sourced from local junk shops, transformed into wearable art that honors Tboli folklore, nature, and craftsmanship. The spirals can be gently stretched for a more dramatic effect, though they will not return to their original shape. Rings are produced in small batches to preserve quality and individuality, with intentional imperfections that reflect the handmade nature of each piece.",Antique Brass,US RING SIZES 5-6,Upcycled Brass
